Expense Type,Amount,Department
Meals,2208.57,Sales
Car,1542.07,R&D
Car,2905.69,Marketing
Car,1393.53,Sales
Allowance,1139.53,Legal
Air,406.56,HR
Air,1592.19,Operations
Hotel,2973.51,HR
Meals,132.53,Sales
Allowance,1294.18,HR
Car,590.08,Finance
Air,1665.24,Finance
Meals,1469.47,R&D
Hotel,2354.98,Sales
Car,1539.05,R&D
Meals,489.5,Marketing
Allowance,2010.28,Legal
Car,2705.72,Finance
Meals,2220.94,Marketing
Car,2136.27,HR
Allowance,1953.22,Marketing
Car,2867.75,Finance
Allowance,1589.17,Finance
Air,1991.85,Sales
Air,861.14,IT
Allowance,1360.48,Operations
Meals,1787.23,Finance
Hotel,1339.2,Finance
Allowance,986.28,Marketing
Air,2940.37,Sales
Hotel,474.9,Marketing
Car,955.04,Sales
Air,1862.7,Sales
Air,2154.24,Legal
Air,994.12,Operations
Hotel,1157.76,Finance
Car,756.89,IT
Meals,1550.43,Legal
Air,844.4,R&D
Allowance,1250.88,Finance
Meals,1918.95,HR
Allowance,2892.25,Marketing
Car,2300.79,Sales
Hotel,1726.32,Marketing
Allowance,650.2,Operations
Allowance,2956.66,Legal
Allowance,1382.64,R&D
Allowance,903.29,Finance
Air,2803.85,HR
Allowance,790.12,Legal
Hotel,2535.19,HR
Air,526.18,Marketing
Hotel,314.66,Marketing
Car,2188.97,Legal
Car,1850.81,Operations
Hotel,2939.94,R&D
Hotel,775.49,Operations
Car,1406.41,Operations
Air,2746.35,Finance
Allowance,1455.76,Sales
Meals,1689.58,R&D
Meals,1637.49,Marketing
Allowance,141.3,R&D
Air,1091.33,Operations
Meals,572.7,Finance
Air,1414.94,R&D
Air,703.49,HR
Hotel,614.96,HR
Car,741.06,Operations
Air,878.23,IT
Air,628.46,Legal
Air,2616.25,R&D
Car,1677.77,Sales
Air,1785.09,Sales
Hotel,2804.01,HR
Car,2550.62,HR
Allowance,2655.15,Legal
Air,2568.89,Legal
Meals,858.41,R&D
Meals,1116.34,IT
Air,869.9,R&D
Hotel,65.22,Operations
Air,2646.29,IT
Meals,2875.44,IT
Car,1021.21,Marketing
Air,1465.9,Operations
Hotel,779.1,IT
Hotel,2505.93,IT
Air,2338.46,R&D
Air,1894.78,Marketing
Air,2924.85,Legal
Hotel,2675.75,Marketing
Car,232.91,Finance
Hotel,1851.68,Marketing
Air,2048.82,Finance
Hotel,2557.29,Marketing
Allowance,2268.29,Finance
Meals,1182.56,Marketing
Hotel,1970.22,Finance
Meals,1575.78,IT
Air,352.93,Marketing
Allowance,2378.78,Sales
Allowance,806.04,R&D
Allowance,1361.64,Sales
Air,228.45,Legal
